gluten
süt
yumurta
plastik
tahıl
bal
çikolata
kakao
glikoz
alkol
pamuk
soya
yer fıstığı
buğday
balık
keten
kenevir
paraben
renklendirici
ftalat
sls
florür
dioksin
nitrozamin
sodyum laury sülfat
silikon
gliserin
